1995-01;Solaire;
1995-02;Solaire;
1995-03;Solaire;
1995-04;Solaire;
1995-05;Solaire;
1995-06;Solaire;
1995-07;Solaire;
1995-08;Solaire;
1995-09;Solaire;
1995-10;Solaire;
1995-11;Solaire;
1995-12;Solaire;
1996-01;Solaire;
1996-02;Solaire;
1996-03;Solaire;
1996-04;Solaire;
1996-05;Solaire;
1996-06;Solaire;
1996-07;Solaire;
1996-08;Solaire;
1996-09;Solaire;
1996-10;Solaire;
1996-11;Solaire;
1996-12;Solaire;
1997-01;Solaire;
1997-02;Solaire;
1997-03;Solaire;
1997-04;Solaire;
1997-05;Solaire;
1997-06;Solaire;
1997-07;Solaire;
1997-08;Solaire;
1997-09;Solaire;
1997-10;Solaire;
1997-11;Solaire;
1997-12;Solaire;
1998-01;Solaire;
1998-02;Solaire;
1998-03;Solaire;
1998-04;Solaire;
1998-05;Solaire;
1998-06;Solaire;
1998-07;Solaire;
1998-08;Solaire;
1998-09;Solaire;
1998-10;Solaire;
1998-11;Solaire;
1998-12;Solaire;
1999-01;Solaire;
1999-02;Solaire;
1999-03;Solaire;
1999-04;Solaire;
1999-05;Solaire;
1999-06;Solaire;
1999-07;Solaire;
1999-08;Solaire;
1999-09;Solaire;
1999-10;Solaire;
1999-11;Solaire;
1999-12;Solaire;
2000-01;Solaire;
2000-02;Solaire;
2000-03;Solaire;
2000-04;Solaire;
2000-05;Solaire;
2000-06;Solaire;
2000-07;Solaire;
2000-08;Solaire;
2000-09;Solaire;
2000-10;Solaire;
2000-11;Solaire;
2000-12;Solaire;
2001-01;Solaire;
2001-02;Solaire;
2001-03;Solaire;
2001-04;Solaire;
2001-05;Solaire;
2001-06;Solaire;
2001-07;Solaire;
2001-08;Solaire;
2001-09;Solaire;
2001-10;Solaire;
2001-11;Solaire;
2001-12;Solaire;
2002-01;Solaire;
2002-02;Solaire;
2002-03;Solaire;
2002-04;Solaire;
2002-05;Solaire;
2002-06;Solaire;
2002-07;Solaire;
2002-08;Solaire;
2002-09;Solaire;
2002-10;Solaire;
2002-11;Solaire;
2002-12;Solaire;
2003-01;Solaire;
2003-02;Solaire;
2003-03;Solaire;
2003-04;Solaire;
2003-05;Solaire;
2003-06;Solaire;
2003-07;Solaire;
2003-08;Solaire;
2003-09;Solaire;
2003-10;Solaire;
2003-11;Solaire;
2003-12;Solaire;
2004-01;Solaire;
2004-02;Solaire;
2004-03;Solaire;
2004-04;Solaire;
2004-05;Solaire;
2004-06;Solaire;
2004-07;Solaire;
2004-08;Solaire;
2004-09;Solaire;
2004-10;Solaire;
2004-11;Solaire;
2004-12;Solaire;
2005-01;Solaire;
2005-02;Solaire;
2005-03;Solaire;
2005-04;Solaire;
2005-05;Solaire;
2005-06;Solaire;
2005-07;Solaire;
2005-08;Solaire;
2005-09;Solaire;
2005-10;Solaire;
2005-11;Solaire;
2005-12;Solaire;
2006-01;Solaire;0,0005
2006-02;Solaire;0,0005
2006-03;Solaire;0,0005
2006-04;Solaire;0,0005
2006-05;Solaire;0,0005
2006-06;Solaire;0,0005
2006-07;Solaire;0,0005
2006-08;Solaire;0,0005
2006-09;Solaire;0,0005
2006-10;Solaire;0,0005
2006-11;Solaire;0,0005
2006-12;Solaire;0,0005
2007-01;Solaire;0,0005
2007-02;Solaire;0,0005
2007-03;Solaire;0,0005
2007-04;Solaire;0,0005
